username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
ParkerSturbridge,,Joined in Dec 2013,753,752,286,0,[],1,[]
Ankevl,"Le Mont-sur-Lausanne, Switzerland",Joined in Mar 2009,254,166,94,1,[],0,[]
Jmboze1,"New Braunfels, Texas",Joined in Jan 2009,203,71,15,0,[],0,[]
ChaZha24,Norway,Joined in Jun 2018,8,8,1,0,[],0,[]
kariregan,"Hailey, Idaho",Joined in Sep 2014,6,6,7,0,[],0,[]
egono466,"Jersey City, New Jersey",Joined in Dec 2015,9,4,3,0,[],0,[]
jerrygeimer,"Esch-sur-Alzette, Luxembourg",Joined in Aug 2016,63,29,10,0,[],0,[]
MyraKokke,Ireland,Joined in Nov 2016,62,26,2,0,[],0,[]
SK2008,Surrey,Joined in Jul 2008,9,9,32,0,[],0,[]
petrock2002,"Cambridge, United Kingdom",Joined in Jul 2009,36,32,34,1,['rishabbp'],0,[]
kevin-woodhams,"Teddington, United Kingdom",Joined in May 2015,140,107,74,0,[],0,[]
GormayTraveller,"Perth, Australia",Joined in Aug 2017,2,2,1,0,[],0,[]
tashcrompton,"London, United Kingdom",Joined in Sep 2010,24,18,8,0,[],0,[]
badhuesli202,"Zurich, Switzerland",Joined in Oct 2016,15,14,3,0,[],0,[]
annev782,"Oslo, Norway",Joined in Mar 2015,2,2,0,0,[],0,[]
RenaudBt,"Schilde, Belgium",Joined in Jul 2013,34,34,4,0,[],0,[]
cfc57,kenilworth,Joined in Dec 2011,28,27,12,0,[],0,[]
foodexpertornot,"Western Australia, Australia",Joined in Oct 2019,26,10,6,0,[],0,[]
jen_zo9,,Joined in Feb 2020,7,2,0,0,[],0,[]
mariangelesa2017,,Joined in Jan 2017,181,74,56,0,[],0,[]
jonasgs,"Aalborg, Denmark",Joined in Jan 2015,50,36,20,0,[],0,[]
PaigeCol,"Copenhagen, Denmark",Joined in Mar 2015,15,12,2,0,[],0,[]
Cathrinemai,"Copenhagen, Denmark",Joined in Dec 2012,22,13,4,0,[],0,[]
uklarka,"Manchester, United Kingdom",Joined in May 2011,891,435,242,1,['MGTravel75'],0,[]
DerHenni,"Haan, Germany",Joined in Aug 2010,666,646,265,3,[],0,[]
skeda15,"Gothenburg, Sweden",Joined in Jun 2018,5,5,1,0,[],0,[]
SFBradandElaine,"Kanona, New York",Joined in Jun 2008,40,40,30,0,[],0,[]
josephiner108,"Canton of Geneva, Switzerland",Joined in Jan 2015,11,11,2,0,[],0,[]
roypig,"Bunutan, Indonesia",Joined in Jan 2015,107,107,50,0,[],0,[]
Legendohe,"Marquette-lez-Lille, France",Joined in May 2008,8,5,1,0,[],0,[]
BrianE1495,,Joined in Jun 2012,1,1,0,0,[],0,[]
520mattiass,,Joined in Sep 2019,1,1,0,0,[],0,[]
LotteKn,"Roskilde, Denmark",Joined in Mar 2013,2,1,0,0,[],0,[]
Tatthebrig,"Callander, United Kingdom",Joined in Dec 2018,31,30,14,0,[],0,[]
734_ysteink,"A i Lofoten, Norway",Joined in Apr 2015,1,1,0,0,[],0,[]
Walk-a-bout0606,,Joined in Jul 2013,172,172,57,0,[],0,[]
coaltownjack,"Swansea, United Kingdom",Joined in Jan 2010,85,85,41,0,[],0,[]
706kyrrea,"Malvik Municipality, Norway",Joined in May 2017,240,115,69,0,[],0,[]
RSMITH361,"Shiplake, United Kingdom",Joined in Jul 2012,137,137,133,0,[],0,[]
haylayf2018,,Joined in Sep 2018,12,6,1,0,[],0,[]
geowale,"Lagos, Nigeria",Joined in Nov 2012,34,29,31,0,[],2,[]
jamesconyers,"Batley, United Kingdom",Joined in Aug 2014,27,22,4,0,[],0,[]
patrickv223,"Eersel, The Netherlands",Joined in Feb 2016,10,9,10,0,[],0,[]
GudjonG,"Vik, Iceland",Joined in Jun 2008,91,89,42,0,[],0,[]
tor1943,"stavanger, Norway",Joined in Nov 2014,68,68,50,0,[],0,[]
