username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
bstuart,"London, United Kingdom",Joined in Jan 2011,50,46,51,0,[],0,[]
ErnstK165,"London, United Kingdom",Joined in Jul 2016,1,1,1,0,[],0,[]
NielsF01,"Beverwijk, The Netherlands",Joined in Oct 2018,1,1,0,0,[],0,[]
Sightsee77825,"Oslo, Norway",Joined in Oct 2008,25,13,29,0,[],0,[]
B8988GBbobs,Toronto,Joined in Mar 2017,5,5,5,0,[],0,[]
A15WEmikeh,"Skyland, North Carolina",Joined in Aug 2015,3,3,1,0,[],0,[]
jpgoldfarb,"New York City, New York",Joined in Jul 2018,6,6,0,0,[],0,[]
FSMartins,"Oeiras, Portugal",Joined in Aug 2012,117,45,24,0,[],0,[]
nilsj_rgenw,,Joined in Jul 2018,5,5,0,0,[],0,[]
darshnac2017,,Joined in May 2017,9,9,1,0,[],0,[]
N5565DLandreab,"Rye, United Kingdom",Joined in Mar 2013,21,16,4,0,[],0,[]
Ellen_Mari79,"Trondheim, Norway",Joined in Sep 2018,1,1,0,0,[],0,[]
yetanothervince,"Seattle, Washington",Joined in Oct 2008,145,38,56,1,['BennyH38'],0,[]
globetrottergirl07,"New York City, New York",Joined in Jan 2011,79,75,32,1,['Asfa-Tours_Bosnia'],0,[]
StevenG3522,"Toronto, Ontario, Canada",Joined in Sep 2005,69,50,145,2,"['Katieandthedude', 'Getaway798643']",0,[]
JodyHatter,"London, United Kingdom",Joined in Dec 2006,131,111,85,1,[],0,[]
fatduke,,Joined in Aug 2018,3,3,3,0,[],0,[]
frodew532,"Torrevieja, Spain",Joined in Aug 2018,23,23,46,0,[],0,[]
idacam,"Kristiansand, Norway",Joined in Apr 2008,73,65,55,4,"['Marco66milano', 'rolfxx', 'oisteinn', '334theresew']",4,"['rolfxx', 'oliegreen', 'oisteinn', '334theresew']"
Jane800,"St. Albans, United Kingdom",Joined in Oct 2011,157,156,123,0,[],0,[]
